capteur,importance_shap,cumsum,cumsum_pct
Sensor_060,0.05867200971722447,0.05867200971722447,11.370887760213002
Sensor_104,0.031271678713737476,0.08994368843096195,17.431473556423775
Sensor_041,0.03123684229188718,0.12118053072284914,23.48530790429084
Sensor_131,0.02673532279368605,0.1479158535165352,28.666728417841465
Sensor_122,0.025167360776552,0.17308321429308718,33.54427115057227
Sensor_117,0.024114658138065945,0.1971978724311531,38.2177955855697
Sensor_022,0.022803560078198244,0.22000143250935136,42.63722357912527
Sensor_511,0.022215146008099085,0.24221657851745046,46.94261439584176
Sensor_125,0.019587932963655852,0.2618045114811063,50.73884002809446
Sensor_029,0.01930405281054088,0.28110856429164716,54.480048466049915
Sensor_431,0.018104728137455083,0.2992132924291022,57.98882262552335
Sensor_299,0.01576825910463569,0.3149815515337379,61.044779040122386
Sensor_317,0.014920265876451263,0.3299018174101892,63.93639072091091
Sensor_349,0.014407621797048333,0.34430943920723756,66.72864977485192
Sensor_543,0.014267734243523648,0.3585771734507612,69.49379801943346
Sensor_589,0.013290001815390912,0.3718671752661521,72.06945751540387
Sensor_130,0.012756940506872134,0.38462411577302424,74.54180743773443
Sensor_588,0.012618743251151851,0.3972428590241761,76.98737413768795
Sensor_161,0.009561045161675677,0.4068039041858518,78.84034580045723
Sensor_432,0.009549811717723832,0.4163537159035756,80.69114037348729
Sensor_133,0.008872715288409522,0.4252264311919851,82.41071074714726
Sensor_164,0.008427890066622933,0.43365432125860803,84.0440720801723
Sensor_128,0.008375401233623916,0.44202972249223194,85.66726085167143
Sensor_587,0.007913666405573273,0.4499433888978052,87.20096342813397
Sensor_407,0.007336864698330008,0.4572802535961352,88.62287935360955
Sensor_123,0.0072963784373880625,0.4645766320335233,90.03694886763238
Sensor_211,0.00629736130919905,0.47087399334272234,91.25740456665352
Sensor_296,0.0062345832873764075,0.47710857663009876,92.46569361511345
Sensor_541,0.005172327782550735,0.4822809044126495,93.4681129792681
Sensor_269,0.0051164684789830675,0.48739737289163254,94.45970657020835
Sensor_590,0.00463133769406091,0.4920287105856935,95.35727972907273
Sensor_165,0.004628035137468943,0.49665674572316243,96.25421283826931
Sensor_437,0.0045794983288363145,0.5012362440519987,97.14173930525503
Sensor_435,0.004039950864211136,0.5052761949162099,97.92469915365842
Sensor_436,0.003076449650654717,0.5083526445668646,98.52092832402671
Sensor_406,0.002976318094135879,0.5113289626610005,99.09775156819751
Sensor_268,0.002487726393625826,0.5138166890546263,99.5798836399703
Sensor_540,0.0021677349805769228,0.5159844240352032,100.0
